Image Library Data Reference|Counter Reference|Display Resolution|DPI Scale|Horizontal Range|Vertical Range
83|1|36|1|81-98.2|24.2-46.2
83|2|36|2|76.4-97.8|30.2-57.6
83|3|36|3|71.8-97.4|36.2-69.2
83|6|36|1|81-98.2|24.2-46.2
83|7|36|2|76.4-97.8|30.2-57.6
83|8|36|3|71.8-97.4|36.2-69.2
83|12|36|1|81-98.2|24.2-46.2
83|13|36|2|76.4-97.8|30.2-57.6
83|14|36|3|71.8-97.4|36.2-69.2
83|18|36|1|78.2-98.2|14.8-24.4
83|19|36|2|73-97.8|18.4-30.4
83|20|36|3|67.4-97.4|22.2-36.4
83|24|36|1|78.2-98.2|14.8-24.4
83|25|36|2|73-97.8|18.4-30.4
83|26|36|3|67.4-97.4|22.2-36.4
83|28|36|1|81-98.2|24.2-46.2
83|29|36|2|76.4-97.8|30.2-57.6
83|30|36|3|71.8-97.4|36.2-69.2
83|38|36|1|81-98.2|24.2-46.2
83|39|36|2|76.4-97.8|30.2-57.6
83|40|36|3|71.8-97.4|36.2-69.2
83|47|36|1|81-98.2|24.2-46.2
83|48|36|2|76.4-97.8|30.2-57.6
83|49|36|3|71.8-97.4|36.2-69.2
83|53|36|1|81-98.2|24.2-46.2
83|54|36|2|76.4-97.8|30.2-57.6
83|55|36|3|71.8-97.4|36.2-69.2
83|63|36|1|81-98.2|24.2-46.2
83|64|36|2|76.4-97.8|30.2-57.6
83|65|36|3|71.8-97.4|36.2-69.2
83|70|36|1|81-98.2|24.2-46.2
83|71|36|2|76.4-97.8|30.2-57.6
83|72|36|3|71.8-97.4|36.2-69.2
83|75|36|1|81-98.2|24.2-46.2
83|76|36|2|76.4-97.8|30.2-57.6
83|77|36|3|71.8-97.4|36.2-69.2
83|79|36|1|81-98.2|24.2-46.2
83|80|36|2|76.4-97.8|30.2-57.6
83|81|36|3|71.8-97.4|36.2-69.2
83|85|36|1|0-2.2|14.8-33.4
83|86|36|2|0-2.6|18.6-41.8
83|87|36|3|0-3.2|22.2-50
83|89|36|1|81-98.2|24.2-46.2
83|90|36|2|76.4-97.8|30.2-57.6
83|91|36|3|71.8-97.4|36.2-69.2
83|93|36|1|81-98.2|24.2-46.2
83|94|36|2|76.4-97.8|30.2-57.6
83|95|36|3|71.8-97.4|36.2-69.2
83|103|36|1|81-98.2|24.2-46.2
83|104|36|2|76.4-97.8|30.2-57.6
83|105|36|3|71.8-97.4|36.2-69.2
83|113|36|1|78.2-98.2|14.8-24.4
83|114|36|2|73-97.8|18.4-30.4
83|115|36|3|67.4-97.4|22.2-36.4
83|117|36|1|81-98.2|24.2-46.2
83|118|36|2|76.4-97.8|30.2-57.6
83|119|36|3|71.8-97.4|36.2-69.2
83|122|36|1|81-98.2|24.2-46.2
83|123|36|2|76.4-97.8|30.2-57.6
83|124|36|3|71.8-97.4|36.2-69.2
83|129|36|1|81-98.2|24.2-46.2
83|130|36|2|76.4-97.8|30.2-57.6
83|131|36|3|71.8-97.4|36.2-69.2
83|138|36|1|81-98.2|24.2-46.2
83|139|36|2|76.4-97.8|30.2-57.6
83|140|36|3|71.8-97.4|36.2-69.2
83|145|36|1|81-98.2|24.2-46.2
83|146|36|2|76.4-97.8|30.2-57.6
83|147|36|3|71.8-97.4|36.2-69.2
83|152|36|1|81-98.2|24.2-46.2
83|153|36|2|76.4-97.8|30.2-57.6
83|154|36|3|71.8-97.4|36.2-69.2
83|159|36|1|81-98.2|24.2-46.2
83|160|36|2|76.4-97.8|30.2-57.6
83|161|36|3|71.8-97.4|36.2-69.2
83|167|36|1|81-98.2|24.2-46.2
83|168|36|2|76.4-97.8|30.2-57.6
83|169|36|3|71.8-97.4|36.2-69.2
83|177|36|1|81-98.2|24.2-46.2
83|178|36|2|76.4-97.8|30.2-57.6
83|179|36|3|71.8-97.4|36.2-69.2
83|186|36|1|81-98.2|24.2-46.2
83|187|36|2|76.4-97.8|30.2-57.6
83|188|36|3|71.8-97.4|36.2-69.2
83|195|36|1|81-98.2|24.2-46.2
83|196|36|2|76.4-97.8|30.2-57.6
83|197|36|3|71.8-97.4|36.2-69.2
83|199|36|1|0-2.2|14.8-33.4
83|200|36|2|0-2.6|18.6-41.8
83|201|36|3|0-3.2|22.2-50
83|205|36|1|81-98.2|24.2-46.2
83|206|36|2|76.4-97.8|30.2-57.6
83|207|36|3|71.8-97.4|36.2-69.2
83|213|36|1|81-98.2|24.2-46.2
83|214|36|2|76.4-97.8|30.2-57.6
83|215|36|3|71.8-97.4|36.2-69.2
83|219|36|1|81-98.2|24.2-46.2
83|220|36|2|76.4-97.8|30.2-57.6
83|221|36|3|71.8-97.4|36.2-69.2
83|224|36|1|81-98.2|24.2-46.2
83|225|36|2|76.4-97.8|30.2-57.6
83|226|36|3|71.8-97.4|36.2-69.2
83|232|36|1|81-98.2|24.2-46.2
83|233|36|2|76.4-97.8|30.2-57.6
83|234|36|3|71.8-97.4|36.2-69.2
83|241|36|1|81-98.2|24.2-46.2
83|242|36|2|76.4-97.8|30.2-57.6
83|243|36|3|71.8-97.4|36.2-69.2
83|246|36|1|81-98.2|24.2-46.2
83|247|36|2|76.4-97.8|30.2-57.6
83|248|36|3|71.8-97.4|36.2-69.2
83|251|36|1|81-98.2|24.2-46.2
