Image Library Data Reference|Counter Reference|Display Resolution|DPI Scale|Horizontal Range|Vertical Range
83|1|54|1|85.8-98.6|18-34.6
83|2|54|2|82.2-98.4|22.6-43.2
83|3|54|3|78.8-98|27.2-51.8
83|6|54|1|85.8-98.6|18-34.6
83|7|54|2|82.2-98.4|22.6-43.2
83|9|54|3|78.8-98|27.2-51.8
83|12|54|1|85.8-98.6|18-34.6
83|13|54|2|82.2-98.4|22.6-43.2
83|14|54|3|78.8-98|27.2-51.8
83|18|54|1|83.6-98.6|11-18.2
83|19|54|2|79.6-98.4|13.8-22.8
83|20|54|3|75.6-98|16.6-27.4
83|24|54|1|83.6-98.6|11-18.2
83|25|54|2|79.6-98.4|13.8-22.8
83|26|54|3|75.6-98|16.6-27.4
83|31|54|1|85.8-98.6|18-34.6
83|32|54|2|82.2-98.4|22.6-43.2
83|33|54|3|78.8-98|27.2-51.8
83|38|54|1|85.8-98.6|18-34.6
83|41|54|2|82.2-98.4|22.6-43.2
83|42|54|3|78.8-98|27.2-51.8
83|47|54|1|85.8-98.6|18-34.6
83|48|54|2|82.2-98.4|22.6-43.2
83|49|54|3|78.8-98|27.2-51.8
83|56|54|1|85.8-98.6|18-34.6
83|57|54|2|82.2-98.4|22.6-43.2
83|58|54|3|78.8-98|27.2-51.8
83|63|54|1|85.8-98.6|18-34.6
83|64|54|2|82.2-98.4|22.6-43.2
83|66|54|3|78.8-98|27.2-51.8
83|70|54|1|85.8-98.6|18-34.6
83|71|54|2|82.2-98.4|22.6-43.2
83|72|54|3|78.8-98|27.2-51.8
83|75|54|1|85.8-98.6|18-34.6
83|76|54|2|82.2-98.4|22.6-43.2
83|77|54|3|78.8-98|27.2-51.8
83|82|54|1|85.8-98.6|18-34.6
83|80|54|2|82.2-98.4|22.6-43.2
83|81|54|3|78.8-98|27.2-51.8
83|85|54|1|0-1.6|11.2-25
83|86|54|2|0-2|14-31.4
83|87|54|3|0-2.4|16.6-37.6
83|89|54|1|85.8-98.6|18-34.6
83|90|54|2|82.2-98.4|22.6-43.2
83|91|54|3|78.8-98|27.2-51.8
83|96|54|1|85.8-98.6|18-34.6
83|97|54|2|82.2-98.4|22.6-43.2
83|98|54|3|78.8-98|27.2-51.8
83|106|54|1|85.8-98.6|18-34.6
83|107|54|2|82.2-98.4|22.6-43.2
83|108|54|3|78.8-98|27.2-51.8
83|113|54|1|83.6-98.6|11-18.2
83|114|54|2|79.6-98.4|13.8-22.8
83|115|54|3|75.6-98|16.6-27.4
83|117|54|1|85.8-98.6|18-34.6
83|118|54|2|82.2-98.4|22.6-43.2
83|119|54|3|78.8-98|27.2-51.8
83|122|54|1|85.8-98.6|18-34.6
83|123|54|2|82.2-98.4|22.6-43.2
83|125|54|3|78.8-98|27.2-51.8
83|132|54|1|85.8-98.6|18-34.6
83|133|54|2|82.2-98.4|22.6-43.2
83|134|54|3|78.8-98|27.2-51.8
83|138|54|1|85.8-98.6|18-34.6
83|139|54|2|82.2-98.4|22.6-43.2
83|141|54|3|78.8-98|27.2-51.8
83|145|54|1|85.8-98.6|18-34.6
83|146|54|2|82.2-98.4|22.6-43.2
83|148|54|3|78.8-98|27.2-51.8
83|155|54|1|85.8-98.6|18-34.6
83|153|54|2|82.2-98.4|22.6-43.2
83|154|54|3|78.8-98|27.2-51.8
83|162|54|1|85.8-98.6|18-34.6
83|160|54|2|82.2-98.4|22.6-43.2
