Image Library Data Reference|Counter Reference|Display Resolution|DPI Scale|Horizontal Range|Vertical Range
83|4|75|1|90.6-99.2|12-23
83|2|75|2|88.2-99|15-28.8
83|3|75|3|85.8-98.6|18-34.6
83|5|75|4|83.6-98.6|21.2-40.2
83|6|75|1|90.6-99.2|12-23
83|7|75|2|88.2-99|15-28.8
83|10|75|3|85.8-98.6|18-34.6
83|11|75|4|83.6-98.6|21.2-40.2
83|15|75|1|90.6-99.2|12-23
83|16|75|2|88.2-99|15-28.8
83|14|75|3|85.8-98.6|18-34.6
83|17|75|4|83.6-98.6|21.2-40.2
83|21|75|1|89.2-99.2|7.4-12.2
83|22|75|2|86.4-99|9.2-15.2
83|20|75|3|83.8-98.6|11-18.2
83|23|75|4|81-98.6|12.8-21.2
83|24|75|1|89.2-99.2|7.4-12.2
83|25|75|2|86.4-99|9.2-15.2
83|26|75|3|83.8-98.6|11-18.2
83|27|75|4|81-98.6|12.8-21.2
83|34|75|1|90.6-99.2|12-23
83|35|75|2|88.2-99|15-28.8
83|36|75|3|85.8-98.6|18-34.6
83|37|75|4|83.6-98.6|21.2-40.2
83|43|75|1|90.6-99.2|12-23
83|44|75|2|88.2-99|15-28.8
83|45|75|3|85.8-98.6|18-34.6
83|46|75|4|83.6-98.6|21.2-40.2
83|50|75|1|90.6-99.2|12-23
83|48|75|2|88.2-99|15-28.8
83|51|75|3|85.8-98.6|18-34.6
83|52|75|4|83.6-98.6|21.2-40.2
83|59|75|1|90.6-99.2|12-23
83|60|75|2|88.2-99|15-28.8
83|61|75|3|85.8-98.6|18-34.6
83|62|75|4|83.6-98.6|21.2-40.2
83|67|75|1|90.6-99.2|12-23
83|64|75|2|88.2-99|15-28.8
83|68|75|3|85.8-98.6|18-34.6
83|69|75|4|83.6-98.6|21.2-40.2
83|73|75|1|90.6-99.2|12-23
83|71|75|2|88.2-99|15-28.8
83|72|75|3|85.8-98.6|18-34.6
83|74|75|4|83.6-98.6|21.2-40.2
83|75|75|1|90.6-99.2|12-23
83|76|75|2|88.2-99|15-28.8
83|77|75|3|85.8-98.6|18-34.6
83|78|75|4|83.6-98.6|21.2-40.2
83|83|75|1|90.6-99.2|12-23
83|80|75|2|88.2-99|15-28.8
83|81|75|3|85.8-98.6|18-34.6
83|84|75|4|83.6-98.6|21.2-40.2
83|85|75|1|0-1.2|7.4-16.8
83|86|75|2|0-1.4|9.2-20.8
83|87|75|3|0-1.6|11.2-25
83|88|75|4|0-1.8|13-29.2
83|89|75|1|90.6-99.2|12-23
83|90|75|2|88.2-99|15-28.8
83|91|75|3|85.8-98.6|18-34.6
83|92|75|4|83.6-98.6|21.2-40.2
83|99|75|1|90.6-99.2|12-23
83|100|75|2|88.2-99|15-28.8
83|101|75|3|85.8-98.6|18-34.6
83|102|75|4|83.6-98.6|21.2-40.2
83|109|75|1|90.6-99.2|12-23
83|110|75|2|88.2-99|15-28.8
83|111|75|3|85.8-98.6|18-34.6
83|112|75|4|83.6-98.6|21.2-40.2
83|113|75|1|89.2-99.2|7.4-12.2
83|114|75|2|86.4-99|9.2-15.2
83|115|75|3|83.8-98.6|11-18.2
83|116|75|4|81-98.6|12.8-21.2
83|120|75|1|90.6-99.2|12-23
83|118|75|2|88.2-99|15-28.8
83|119|75|3|85.8-98.6|18-34.6
83|121|75|4|83.6-98.6|21.2-40.2
83|126|75|1|90.6-99.2|12-23
83|123|75|2|88.2-99|15-28.8
83|127|75|3|85.8-98.6|18-34.6
83|128|75|4|83.6-98.6|21.2-40.2
83|135|75|1|90.6-99.2|12-23
83|130|75|2|88.2-99|15-28.8
83|136|75|3|85.8-98.6|18-34.6
83|137|75|4|83.6-98.6|21.2-40.2
83|142|75|1|90.6-99.2|12-23
83|139|75|2|88.2-99|15-28.8
83|143|75|3|85.8-98.6|18-34.6
83|144|75|4|83.6-98.6|21.2-40.2
83|149|75|1|90.6-99.2|12-23
83|146|75|2|88.2-99|15-28.8
83|150|75|3|85.8-98.6|18-34.6
83|151|75|4|83.6-98.6|21.2-40.2
83|156|75|1|90.6-99.2|12-23
83|153|75|2|88.2-99|15-28.8
83|157|75|3|85.8-98.6|18-34.6
83|158|75|4|83.6-98.6|21.2-40.2
83|164|75|1|90.6-99.2|12-23
83|160|75|2|88.2-99|15-28.8
83|165|75|3|85.8-98.6|18-34.6
83|166|75|4|83.6-98.6|21.2-40.2
83|173|75|1|90.6-99.2|12-23
83|174|75|2|88.2-99|15-28.8
83|175|75|3|85.8-98.6|18-34.6
83|176|75|4|83.6-98.6|21.2-40.2
83|183|75|1|90.6-99.2|12-23
83|184|75|2|88.2-99|15-28.8
83|179|75|3|85.8-98.6|18-34.6
83|185|75|4|83.6-98.6|21.2-40.2
83|191|75|1|90.6-99.2|12-23
83|192|75|2|88.2-99|15-28.8
83|193|75|3|85.8-98.6|18-34.6
83|194|75|4|83.6-98.6|21.2-40.2
83|195|75|1|90.6-99.2|12-23
83|196|75|2|88.2-99|15-28.8
83|197|75|3|85.8-98.6|18-34.6
83|198|75|4|83.6-98.6|21.2-40.2
83|199|75|1|0-1.2|7.4-16.8
83|203|75|2|0-1.4|9.2-20.8
83|201|75|3|0-1.6|11.2-25
83|204|75|4|0-1.8|13-29.2
83|210|75|1|90.6-99.2|12-23
83|206|75|2|88.2-99|15-28.8
83|211|75|3|85.8-98.6|18-34.6
83|212|75|4|83.6-98.6|21.2-40.2
83|216|75|1|90.6-99.2|12-23
83|217|75|2|88.2-99|15-28.8
83|215|75|3|85.8-98.6|18-34.6
83|218|75|4|83.6-98.6|21.2-40.2
83|222|75|1|90.6-99.2|12-23
83|220|75|2|88.2-99|15-28.8
83|221|75|3|85.8-98.6|18-34.6
83|223|75|4|83.6-98.6|21.2-40.2
83|229|75|1|90.6-99.2|12-23
83|230|75|2|88.2-99|15-28.8
83|226|75|3|85.8-98.6|18-34.6
83|231|75|4|83.6-98.6|21.2-40.2
83|238|75|1|90.6-99.2|12-23
83|233|75|2|88.2-99|15-28.8
83|239|75|3|85.8-98.6|18-34.6
83|240|75|4|83.6-98.6|21.2-40.2
83|244|75|1|90.6-99.2|12-23
83|242|75|2|88.2-99|15-28.8
83|243|75|3|85.8-98.6|18-34.6
83|245|75|4|83.6-98.6|21.2-40.2
83|249|75|1|90.6-99.2|12-23
83|247|75|2|88.2-99|15-28.8
83|248|75|3|85.8-98.6|18-34.6
83|250|75|4|83.6-98.6|21.2-40.2
83|254|75|1|90.6-99.2|12-23
83|252|75|2|88.2-99|15-28.8
83|253|75|3|85.8-98.6|18-34.6
83|255|75|4|83.6-98.6|21.2-40.2
83|259|75|1|90.6-99.2|12-23
83|257|75|2|88.2-99|15-28.8
83|258|75|3|85.8-98.6|18-34.6
83|260|75|4|83.6-98.6|21.2-40.2
83|261|75|1|0-1.2|7.4-16.8
83|262|75|2|0-1.4|9.2-20.8
83|263|75|3|0-1.6|11.2-25
83|264|75|4|0-1.8|13-29.2
83|269|75|1|90.6-99.2|12-23
83|266|75|2|88.2-99|15-28.8
83|270|75|3|85.8-98.6|18-34.6
83|271|75|4|83.6-98.6|21.2-40.2
83|275|75|1|90.6-99.2|12-23
83|273|75|2|88.2-99|15-28.8
83|274|75|3|85.8-98.6|18-34.6
83|276|75|4|83.6-98.6|21.2-40.2
83|282|75|1|90.6-99.2|12-23
83|278|75|2|88.2-99|15-28.8
83|283|75|3|85.8-98.6|18-34.6
83|284|75|4|83.6-98.6|21.2-40.2
83|291|75|1|90.6-99.2|12-23
83|292|75|2|88.2-99|15-28.8
83|293|75|3|85.8-98.6|18-34.6
83|294|75|4|83.6-98.6|21.2-40.2
83|295|75|1|90.6-99.2|12-23
83|296|75|2|88.2-99|15-28.8
83|300|75|3|85.8-98.6|18-34.6
83|301|75|4|83.6-98.6|21.2-40.2
83|307|75|1|90.6-99.2|12-23
83|303|75|2|88.2-99|15-28.8
83|304|75|3|85.8-98.6|18-34.6
83|308|75|4|83.6-98.6|21.2-40.2
83|312|75|1|90.6-99.2|12-23
83|310|75|2|88.2-99|15-28.8
83|311|75|3|85.8-98.6|18-34.6
83|313|75|4|83.6-98.6|21.2-40.2
83|314|75|1|0-1.2|7.4-16.8
83|315|75|2|0-1.4|9.2-20.8
83|316|75|3|0-1.6|11.2-25
83|317|75|4|0-1.8|13-29.2
83|323|75|1|90.6-99.2|12-23
83|324|75|2|88.2-99|15-28.8
83|325|75|3|85.8-98.6|18-34.6
83|326|75|4|83.6-98.6|21.2-40.2
83|327|75|1|0-1.2|7.4-16.8
83|328|75|2|0-1.4|9.2-20.8
83|329|75|3|0-1.6|11.2-25
83|330|75|4|0-1.8|13-29.2
83|334|75|1|90.6-99.2|12-23
83|332|75|2|88.2-99|15-28.8
83|333|75|3|85.8-98.6|18-34.6
83|335|75|4|83.6-98.6|21.2-40.2
83|340|75|1|90.6-99.2|12-23
83|337|75|2|88.2-99|15-28.8
83|341|75|3|85.8-98.6|18-34.6
83|342|75|4|83.6-98.6|21.2-40.2
3|1|75|1|0-100|3.2-95.6
3|1|75|2|0-100|4.2-94.6
3|1|75|3|0-100|5.6-93.4
3|1|75|4|0-100|6.6-92.2
3|2|75|1|0-83.8|94.2-96.8
3|2|75|2|0-80|93.4-96.2
3|2|75|3|0-74.6|92-95.2
3|2|75|4|0-72|91-94.4
3|3|75|1|0-100|3.2-95.6
3|3|75|2|0-100|4.2-94.6
3|3|75|3|0-100|5.6-93.4
3|3|75|4|0-100|6.6-92.2
3|10|75|1|0-100|0-4.2
3|11|75|2|0-100|0-5.2
3|12|75|3|0-100|0-6.6
3|13|75|4|0-100|0-7.6
3|14|75|1|0-100|3.2-95.6
3|14|75|2|0-100|4.2-94.6
3|14|75|3|0-100|5.6-93.4
3|14|75|4|0-100|6.6-92.2
3|15|75|1|0-100|3.2-95.6
3|15|75|2|0-100|4.2-94.6
3|15|75|3|0-100|5.6-93.4
3|15|75|4|0-100|6.6-92.2
3|16|75|1|0-83.8|94.2-96.8
3|16|75|2|0-80|93.4-96.2
3|16|75|3|0-74.6|92-95.2
3|16|75|4|0-72|91-94.4
3|17|75|1|0-83.8|94.2-96.8
3|17|75|2|0-80|93.4-96.2
3|17|75|3|0-74.6|92-95.2
3|17|75|4|0-72|91-94.4
3|18|75|1|0-100|3.2-95.6
3|18|75|2|0-100|4.2-94.6
3|18|75|3|0-100|5.6-93.4
3|18|75|4|0-100|6.6-92.2
3|19|75|1|0-100|3.2-95.6
3|19|75|2|0-100|4.2-94.6
3|19|75|3|0-100|5.6-93.4
3|19|75|4|0-100|6.6-92.2
91|1|75|1|94.4-99.6|4.2-24
91|2|75|2|93-99.6|5.2-30
91|3|75|3|91.6-99.4|6.2-36
91|4|75|4|89-99.2|8.2-47.6
91|5|75|1|94.4-99.6|4.2-24
91|6|75|2|93-99.6|5.2-30
91|7|75|3|91.6-99.4|6.2-36
91|8|75|4|89-99.2|8.2-47.6
91|9|75|1|94.4-99.6|4.2-24
91|10|75|2|93-99.6|5.2-30
91|11|75|3|91.6-99.4|6.2-36
91|12|75|4|89-99.2|8.2-47.6
91|16|75|1|94.4-99.6|4.2-24
91|14|75|2|93-99.6|5.2-30
91|15|75|3|91.6-99.4|6.2-36
91|17|75|4|89-99.2|8.2-47.6
91|18|75|1|94.4-99.6|4.2-24
91|19|75|2|93-99.6|5.2-30
91|20|75|3|91.6-99.4|6.2-36
91|21|75|4|89-99.2|8.2-47.6
91|25|75|1|94.4-99.6|4.2-24
91|27|75|2|93-99.6|5.2-30
91|26|75|3|91.6-99.4|6.2-36
91|28|75|4|89-99.2|8.2-47.6
91|29|75|1|94.4-99.6|4.2-24
91|30|75|2|93-99.6|5.2-30
91|31|75|3|91.6-99.4|6.2-36
91|32|75|4|89-99.2|8.2-47.6
91|36|75|1|94.4-99.6|4.2-24
91|34|75|2|93-99.6|5.2-30
91|35|75|3|91.6-99.4|6.2-36
91|37|75|4|89-99.2|8.2-47.6
91|38|75|1|94.4-99.6|4.2-24
91|39|75|2|93-99.6|5.2-30
91|40|75|3|91.6-99.4|6.2-36
91|41|75|4|89-99.2|8.2-47.6
91|45|75|1|94.4-99.6|4.2-24
91|43|75|2|93-99.6|5.2-30
91|47|75|3|91.6-99.4|6.2-36
91|48|75|4|89-99.2|8.2-47.6
91|52|75|1|94.4-99.6|4.2-24
91|50|75|2|93-99.6|5.2-30
91|51|75|3|91.6-99.4|6.2-36
91|53|75|4|89-99.2|8.2-47.6
91|54|75|1|94.4-99.6|4.2-24
91|55|75|2|93-99.6|5.2-30
