Name|Registry Path
7-Zip|7-Zip
Everything|voidtools\Everything
Excel|Microsoft\Office\16.0\Common\InstallRoot
Excel|Microsoft\Office\15.0\Common\InstallRoot
Outlook|Microsoft\Office\16.0\Common\InstallRoot
Outlook|Microsoft\Office\15.0\Common\InstallRoot
PowerPoint|Microsoft\Office\16.0\Common\InstallRoot
PowerPoint|Microsoft\Office\15.0\Common\InstallRoot
SQL Server Management Studio|Microsoft\Microsoft SQL Server Management Studio
Toad for Oracle|Quest Software\Toad for Oracle
Toad for Oracle|Dell\Toad for Oracle
Word|Microsoft\Office\16.0\Common\InstallRoot
Word|Microsoft\Office\15.0\Common\InstallRoot
