User Interface Language Code Identifier|20% - Accent1|20% - Accent2|20% - Accent3|20% - Accent4|20% - Accent5|20% - Accent6|40% - Accent1|40% - Accent2|40% - Accent3|40% - Accent4|40% - Accent5|40% - Accent6|60% - Accent1|60% - Accent2|60% - Accent3|60% - Accent4|60% - Accent5|60% - Accent6|Accent1|Accent2|Accent3|Accent4|Accent5|Accent6|Bad|Calculation|Check Cell|Comma|Comma [0]|Currency|Currency [0]|Explanatory Text|Good|Heading 1|Heading 2|Heading 3|Heading 4|Input|Linked Cell|Neutral|Normal|Note|Output|Percent|Title|Total|Warning Text
1025|20% - تمييز1|20% - تمييز2|20% - تمييز3|20% - تمييز4|20% - تمييز5|20% - تمييز6|40% - تمييز1|40% - تمييز2|40% - تمييز3|40% - تمييز4|40% - تمييز5|40% - تمييز6|60% - تمييز1|60% - تمييز2|60% - تمييز3|60% - تمييز4|60% - تمييز5|60% - تمييز6|تمييز1|تمييز2|تمييز3|تمييز4|تمييز5|تمييز6|سيئ|حساب|خلية تدقيق|Comma|Comma [0]|Currency|Currency [0]|نص توضيحي|جيد|عنوان 1|عنوان 2|عنوان 3|عنوان 4|إدخال|خلية مرتبطة|محايد|عادي|ملاحظة|إخراج|Percent|عنوان|الإجمالي|نص تحذير
1026|20% - Акцент1|20% - Акцент2|20% - Акцент3|20% - Акцент4|20% - Акцент5|20% - Акцент6|40% - Акцент1|40% - Акцент2|40% - Акцент3|40% - Акцент4|40% - Акцент5|40% - Акцент6|60% - Акцент1|60% - Акцент2|60% - Акцент3|60% - Акцент4|60% - Акцент5|60% - Акцент6|Акцент1|Акцент2|Акцент3|Акцент4|Акцент5|Акцент6|Лош|Изчисление|Контролна клетка|Запетая|Запетая [0]|Валута|Валута [0]|Обяснителен текст|Добър|Заглавие 1|Заглавие 2|Заглавие 3|Заглавие 4|Вход|Свързана клетка|Неутрален|Нормален|Бележка|Изход|Процент|Заглавие|Сума|Предупредителен текст
1027|20% - Èmfasi1|20% - Èmfasi2|20% - Èmfasi3|20% - Èmfasi4|20% - Èmfasi5|20% - Èmfasi6|40% - Èmfasi1|40% - Èmfasi2|40% - Èmfasi3|40% - Èmfasi4|40% - Èmfasi5|40% - Èmfasi6|60% - Èmfasi1|60% - Èmfasi2|60% - Èmfasi3|60% - Èmfasi4|60% - Èmfasi5|60% - Èmfasi6|Èmfasi1|Èmfasi2|Èmfasi3|Èmfasi4|Èmfasi5|Èmfasi6|Incorrecte|Càlcul|Cel·la de comprovació|Coma|Milers [0]|Moneda|Moneda [0]|Text explicatiu|Bé|Títol 1|Títol 2|Títol 3|Títol 4|Entrada|Cel·la enllaçada|Neutral|Normal|Nota|Resultat|Percentatge|Títol|Total|Text d'advertiment
1028|20% - 輔色1|20% - 輔色2|20% - 輔色3|20% - 輔色4|20% - 輔色5|20% - 輔色6|40% - 輔色1|40% - 輔色2|40% - 輔色3|40% - 輔色4|40% - 輔色5|40% - 輔色6|60% - 輔色1|60% - 輔色2|60% - 輔色3|60% - 輔色4|60% - 輔色5|60% - 輔色6|輔色1|輔色2|輔色3|輔色4|輔色5|輔色6|壞|計算方式|檢查儲存格|千分位|千分位[0]|貨幣|貨幣 [0]|說明文字|好|標題 1|標題 2|標題 3|標題 4|輸入|連結的儲存格|中等|一般|備註|輸出|百分比|標題|合計|警告文字
1029|20 % – Zvýraznění 1|20 % – Zvýraznění 2|20 % – Zvýraznění 3|20 % – Zvýraznění 4|20 % – Zvýraznění 5|20 % – Zvýraznění 6|40 % – Zvýraznění 1|40 % – Zvýraznění 2|40 % – Zvýraznění 3|40 % – Zvýraznění 4|40 % – Zvýraznění 5|40 % – Zvýraznění 6|60 % – Zvýraznění 1|60 % – Zvýraznění 2|60 % – Zvýraznění 3|60 % – Zvýraznění 4|60 % – Zvýraznění 5|60 % – Zvýraznění 6|Zvýraznění 1|Zvýraznění 2|Zvýraznění 3|Zvýraznění 4|Zvýraznění 5|Zvýraznění 6|Špatně|Výpočet|Kontrolní buňka|Čárka|Čárky bez des. míst|Měna|Měny bez des. míst|Vysvětlující text|Správně|Nadpis 1|Nadpis 2|Nadpis 3|Nadpis 4|Vstup|Propojená buňka|Neutrální|Normální|Poznámka|Výstup|Procenta|Název|Celkem|Text upozornění
1030|20 % - Farve1|20 % - Farve2|20 % - Farve3|20 % - Farve4|20 % - Farve5|20 % - Farve6|40 % - Farve1|40 % - Farve2|40 % - Farve3|40 % - Farve4|40 % - Farve5|40 % - Farve6|60 % - Farve1|60 % - Farve2|60 % - Farve3|60 % - Farve4|60 % - Farve5|60 % - Farve6|Farve1|Farve2|Farve3|Farve4|Farve5|Farve6|Ugyldig|Beregning|Kontrollér celle|Komma|Komma [0]|Valuta|Valuta [0]|Forklarende tekst|God|Overskrift 1|Overskrift 2|Overskrift 3|Overskrift 4|Input|Sammenkædet celle|Neutral|Normal|Bemærk!|Output|Procent|Titel|Total|Advarselstekst
1031|20 % - Akzent1|20 % - Akzent2|20 % - Akzent3|20 % - Akzent4|20 % - Akzent5|20 % - Akzent6|40 % - Akzent1|40 % - Akzent2|40 % - Akzent3|40 % - Akzent4|40 % - Akzent5|40 % - Akzent6|60 % - Akzent1|60 % - Akzent2|60 % - Akzent3|60 % - Akzent4|60 % - Akzent5|60 % - Akzent6|Akzent1|Akzent2|Akzent3|Akzent4|Akzent5|Akzent6|Schlecht|Berechnung|Zelle überprüfen|Komma|Dezimal [0]|Währung|Währung [0]|Erklärender Text|Gut|Überschrift 1|Überschrift 2|Überschrift 3|Überschrift 4|Eingabe|Verknüpfte Zelle|Neutral|Standard|Notiz|Ausgabe|Prozent|Überschrift|Ergebnis|Warnender Text
1032|20% - Έμφαση1|20% - Έμφαση2|20% - Έμφαση3|20% - Έμφαση4|20% - Έμφαση5|20% - Έμφαση6|40% - Έμφαση1|40% - Έμφαση2|40% - Έμφαση3|40% - Έμφαση4|40% - Έμφαση5|40% - Έμφαση6|60% - Έμφαση1|60% - Έμφαση2|60% - Έμφαση3|60% - Έμφαση4|60% - Έμφαση5|60% - Έμφαση6|Έμφαση1|Έμφαση2|Έμφαση3|Έμφαση4|Έμφαση5|Έμφαση6|Κακό|Υπολογισμός|Έλεγχος κελιού|Κόμμα|Κόμμα [0]|Νομισματική μονάδα|Νόμισμα [0]|Επεξηγηματικό κείμενο|Καλό|Επικεφαλίδα 1|Επικεφαλίδα 2|Επικεφαλίδα 3|Επικεφαλίδα 4|Εισαγωγή|Συνδεδεμένο κελί|Ουδέτερο|Κανονικό|Σημείωση|Έξοδος|Ποσοστό|Τίτλος|Σύνολο|Προειδοποιητικό κείμενο
1033|20% - Accent1|20% - Accent2|20% - Accent3|20% - Accent4|20% - Accent5|20% - Accent6|40% - Accent1|40% - Accent2|40% - Accent3|40% - Accent4|40% - Accent5|40% - Accent6|60% - Accent1|60% - Accent2|60% - Accent3|60% - Accent4|60% - Accent5|60% - Accent6|Accent1|Accent2|Accent3|Accent4|Accent5|Accent6|Bad|Calculation|Check Cell|Comma|Comma [0]|Currency|Currency [0]|Explanatory Text|Good|Heading 1|Heading 2|Heading 3|Heading 4|Input|Linked Cell|Neutral|Normal|Note|Output|Percent|Title|Total|Warning Text
