Extension|Minimal Hex Signature|Maximum Hex Signature
7z|377ABCAF271C|377ABCAF271C
blend|424C454E444552|424C454E444552
bmp|424D|424D
bpg|425047FB|425047FB
cab|4D534346|4D534346
crx|43723234|43723234
exr|762F3101|762F3101
flac|664C6143|664C6143
gif|47494638|47494638
ico|00000100|00000100
jpg|FFD8FF|FFD8FF
lnk|4C000000|4C0000000114020000000000C000000000000046
mid|4D546864|4D54686400000006
mkv|1A45DFA3|1A45DFA3
ogg|4F676753|4F676753
pdf|255044462D|255044462D
png|89504E470D0A1A0A|89504E470D0A1A0A0000000D49484452
psd|38425053|384250530001000000000000
pst|2142444E|2142444E
sqlite|53514C69746520666F726D6174203300|53514C69746520666F726D6174203300
