Vendor ID|Vendor Name|Approved On Date
3GVR|VR Technology Holdings Limited|2017-01-19
3NOD|Shenzhen three Connaught Information Technology Co., Ltd. (3nod Group)|2013-09-23
AANT|AAEON Technology Inc.|2016-09-01
AAVA|Aava Mobile Oy|2014-04-02
ACPI|Intel Corporation|2011-11-18
AMDI|AMD|2014-08-06
AMPC|Ampere Computing|2018-03-29
AMZN|Amazon Corporation|2019-02-06
APMC|Applied Micro Circuits Corporation|2013-11-14
APTA|Aptina Imaging Corporation|2013-10-28
AREU|Areus GmbH|2025-04-07
ARMH|ARM Ltd.|2012-08-13
ARML|ARM Ltd.|2015-02-24
ASEM|ASEM S.p.A.|2019-04-29
ASUS|ASUS|2012-09-13
ATML|Atmel|2011-11-17
AUTH|AuthenTec|2012-06-01
AWDZ|Shanghai Aiwei Electronic Technology Co., Ltd.|2021-12-31
BABA|Alibaba Co., Ltd.|2021-02-02
BECS|Beijer Electronics AB|2023-06-07
BOOT|Coreboot Project|2017-02-28
BOSC|Robert Bosch GmbH|2014-05-16
BRCM|Broadcom Corporation|2015-05-14
CIRQ|Cirque Corporation|2023-05-09
CIXH|Cix Technology (Shanghai) Co., Ltd.|2022-11-16
CMHR|COMHEAR, INC.|2018-08-02
CORE|CoreOS, Inc|2016-07-01
CPLM|Capella Microsystems Inc.|2012-05-09
DBSI|DreamBig Semiconductor Inc.|2025-01-28
DELL|Dell, Inc.|2012-07-26
DIOO|Dioo Microcircuits Co., Ltd. Jiangsu|2021-06-04
DLGS|Dialog Semiconductor PLC|2016-04-27
DLLK|Dell, Inc.|2012-04-17
DMST|DMIST RESEARCH LTD|2018-07-09
DNBK|Dynabook Inc.|2021-06-01
DSHR|3mdeb|2024-06-13
DSUO|Shenzhen DSO Microelectronics Co.,Ltd.|2013-10-10
ELAN|ELAN MICROELECTRONICS CORPORATION|2014-11-14
ELAS|Elliptic Laboratories AS|2022-10-20
ESSX|Everest Semiconductor Co., Ltd.|2014-11-17
ETDS|EyeTech Digital Systems|2022-11-29
EXAR|Exar Corporation|2017-02-28
FRMW|Framework Computer LLC|2021-03-22
FRSC|Freescale, Inc|2010-01-01
FSAS|Fsas Technologies Inc.|2025-04-30
FTSC|FocalTech Systems Co., Ltd.|2013-07-23
FUJI|Fujitsu Limited|2019-06-18
GHSW|Green Hills Software|2016-08-11
GOOG|Google, Inc.|2013-12-05
GOUP|GoUp Co.,Ltd|2022-06-24
GTCH|G2touch Co., LTD|2018-12-04
HIMX|Himax Technologies, Inc.|2014-03-19
HISI|HiSilicon Technologies Co., Ltd.|2014-11-14
HJMC|Hangzhou hj-micro Technology Co., Ltd|2023-07-31
HPIC|HP Inc.|2015-01-15
HPQC|Hewlett-Packard Company|2012-11-26
HTLM|HTBLuVA Mödling|2014-02-18
HWPE|Hewlett Packard Enterprise|2015-01-15
HXTS|Guizhou Huaxintong Semiconductor Technology Co., Ltd|2019-01-18
HYGO|CHENGDU HAIGUANG IC DESIGN CO., LTD|2020-07-15
IBMX|IBM|2012-11-15
IDEA|Lenovo Beijing Co. Ltd.|2012-05-22
IDEM|IDEMIA|2018-06-26
IHSE|IHSE GmbH|2017-06-22
